"Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                  
-------  ------    -----      -----     ------     --  -- -----------                                                  
     98       5     1020       4800              8552   0 AggregatorHost                                               
    143       9     2252       7488              3020   0 amdfendrsr                                                   
    479      27    26488      36400       0.19  13000   1 ApplicationFrameHost                                         
    316      15     3772      14024              3888   1 atieclxx                                                     
    196       9     1560       6632              3028   0 atiesrxx                                                     
    185      11     1752       1636              9844   0 BraveCrashHandler                                            
    167      10     1900        676              9852   0 BraveCrashHandler64                                          
    382      17     3964       5696       0.28  11704   1 CastSrv                                                      
     81       5     2836       4768       0.05   8420   1 cmd                                                          
     81       5     3792       4876       0.00   9600   1 cmd                                                          
     78       5     4212       4428       0.00  14332   1 cmd                                                          
    225      11    14300      29444       0.03   1452   1 Code                                                         
    291      17    16212      41896       0.20   2952   1 Code                                                         
    303      28    60648     102684       0.80   7800   1 Code                                                         
   1096      52    52656     114636       7.55   8092   1 Code                                                         
    241      18    91584     124496       0.89   8856   1 Code                                                         
    521      36   190024     217304      55.31   9300   1 Code                                                         
    273      20    42876      97536       5.06  11152   1 Code                                                         
    202      20   340240     393640      16.61  12292   1 Code                                                         
    327      24   110196     175036       5.52  13980   1 Code                                                         
    229      19    30004      92264       0.41  14076   1 Code                                                         
    628      28   181904     154992      15.91  14120   1 Code                                                         
    143       7     1548       8980       0.06   6340   1 CompPkgSrv                                                   
    275      14     7600      19884       0.11   7108   1 conhost                                                      
    111       8     6364        976       0.03   9756   1 conhost                                                      
    199      12     7080      16808       0.17  12204   1 conhost                                                      
    109       8     1320       6324       0.02  12508   1 conhost                                                      
    112       9     1376       6372       0.00  13652   1 conhost                                                      
    109       9     1328       6316       0.03  13976   1 conhost                                                      
    734      29     4336       5980               672   1 csrss                                                        
    568      23     2136       5560               880   0 csrss                                                        
    527      18     5164      22620       9.88   5548   1 ctfmon                                                       
    409      19     5248      17344              3740   0 dasHost                                                      
    425      16     5356      14408       0.53   2728   1 dllhost                                                      
    196      16     3228      10960              8848   0 dllhost                                                      
    145       9     1992      13320       0.03   9044   1 dllhost                                                      
   1124      45    80940      86948              1504   1 dwm                                                          
   2852     109   130316     191240      49.89   5436   1 explorer                                                     
     36       6     1336       3408              1280   0 fontdrvhost                                                  
     36       8     3356       8520              1288   1 fontdrvhost                                                  
      0       0       60          8                 0   0 Idle                                                         
   1515      28     9176      24504              1056   0 lsass                                                        
      0       0       76        140              3976   0 Memory Compression                                           
    562      41    21320       1692       0.09  13024   1 Microsoft.Media.Player                                       
    149      13    10432       9888              5820   0 mosquitto                                                    
    460      16     9020      19464              5904   0 MpDefenderCoreService                                        
    303      18    35944      63428       0.52   2552   1 msedge                                                       
    306      18    30424      56964       0.23   3768   1 msedge                                                       
    288      19    43024      74436       4.28   4212   1 msedge                                                       
    440      45    58772      64692      20.91   4500   1 msedge                                                       
    256      15     8112      25092       0.11   4812   1 msedge                                                       
    201      13     8144      19744       0.23   4916   1 msedge                                                       
    231      10     2196       8248       0.02   5040   1 msedge                                                       
    386      31    22292      48000       9.61   7436   1 msedge                                                       
    279      19    29792      52768       0.38   7544   1 msedge                                                       
    265      16     7688      21216       0.41   8480   1 msedge                                                       
    405      32   259508     301812      91.89   9308   1 msedge                                                       
   2101     112   135848     298316      28.27   9360   1 msedge                                                       
    368      27   109000     122880     127.56   9440   1 msedge                                                       
    440      29    83012      22172       3.88   9780   1 msedge                                                       
    384      20    75376     105088       2.59  11076   1 msedge                                                       
    208      15    17720      27064       0.03  14092   1 msedge                                                       
   1103      52    36716      98068       1.30   2640   1 msedgewebview2                                               
    643      36    79528      74400       1.38   5936   1 msedgewebview2                                               
    179      12     7064      18196       0.05   6572   1 msedgewebview2                                               
    369      24   101796     135184       3.52   7648   1 msedgewebview2                                               
    327      19    11200      33688       0.23  10496   1 msedgewebview2                                               
    149      11     2272       7576       0.03  12760   1 msedgewebview2                                               
    746     113   345416     302948              5860   0 MsMpEng                                                      
    220      24     4296      11792             10212   0 NisSrv                                                       
    697      37    11988      40468              5832   0 nvcontainer                                                  
    241      16     6072      19356              8684   1 nvcontainer                                                  
    368      20    10044      34108       1.50   8732   1 nvcontainer                                                  
    461      32    45600      61072       2.20   8776   1 nvcontainer                                                  
    610      29    35176      44244              2272   1 NVDisplay.Container                                          
    446      23    24364      36888              2860   0 NVDisplay.Container                                          
    340      32    53640      77296       1.19  11520   1 NVIDIA Share                                                 
    776      43    24760      64724       1.86  11824   1 NVIDIA Share                                                 
    680      29    31264      39936       0.23  12052   1 NVIDIA Share                                                 
    638      77    31156      12628       1.23   9748   1 NVIDIA Web Helper                                            
    237      13     2964      13688       0.11  11804   1 nvsphelper64                                                 
   1298     100    53564     151896       1.13  10908   1 PhoneExperienceHost                                          
    556      29    75716      88528       0.75   1692   1 powershell                                                   
    551      27    53832      59180       0.27   7380   1 powershell                                                   
    523      28    73360      85816       0.75  13056   1 powershell                                                   
    527      28    73392      85896       0.83  13488   1 powershell                                                   
     98       9     7644      11940       0.02   7552   1 python                                                       
     85       8     5996      10452       0.02   8944   1 python                                                       
      0      11     7900      81416               172   0 Registry                                                     
    396      14     3992      13192              5844   0 RtkAudUService64                                             
    390      15    13296      15152       0.08  11280   1 RtkAudUService64                                             
    121       9     1412       6404              7240   1 rundll32                                                     
    348      21     7768      32948       1.64   8212   1 RuntimeBroker                                                
    212      11     2768      17644       0.06   8952   1 RuntimeBroker                                                
    619      29    15240      45676       3.80   8984   1 RuntimeBroker                                                
    400      20    10572      30832       4.11  11108   1 RuntimeBroker                                                
    222      12     2688      14256       0.05  11288   1 RuntimeBroker                                                
    334      16     8228      26508       0.09  13188   1 RuntimeBroker                                                
    128       8     1468       7740       0.02  13844   1 RuntimeBroker                                                
   1866     160   242596     312256      28.45   8624   1 SearchApp                                                    
    820      42    17736      73456       0.58  12584   1 SearchApp                                                    
    896      76    54308      63864              6356   0 SearchIndexer                                                
