Event Log
   24464 May 11 19:12  Information Microsoft-Windows...           55 Hyper-V logical processor 2 exposes the followi...
   24463 May 11 19:12  Information Microsoft-Windows...           55 Hyper-V logical processor 1 exposes the followi...
   24462 May 11 19:12  Information Microsoft-Windows...           55 Hyper-V logical processor 0 exposes the followi...
   24461 May 11 19:12  Information Microsoft-Windows...           24 The description for Event ID '24' in Source 'Mi...
   24460 May 11 19:12  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi...
   24459 May 11 19:12  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi...
   24458 May 11 19:12  Information Microsoft-Windows...          172 The description for Event ID '172' in Source 'M...
   24457 May 11 19:12  Information Microsoft-Windows...            6 File System Filter 'npsvctrig' (10.0, 2025-01-0...
   24456 May 11 19:12  Information Microsoft-Windows...            6 File System Filter 'UCPD' (10.0, 2053-03-18T19:...
   24455 May 11 19:12  Information Microsoft-Windows...            6 File System Filter 'FileCrypt' (10.0, 2002-03-0...
   24454 May 11 19:12  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi...
   24453 May 11 19:12  Information Microsoft-Windows...            6 File System Filter 'WdFilter' (10.0, 1985-01-06...
   24452 May 11 19:12  Information Microsoft-Windows...            6 File System Filter 'Wof' (10.0, 2090-03-17T02:5...
   24451 May 11 19:12  Information Microsoft-Windows...            6 File System Filter 'FileInfo' (10.0, 2062-12-23...
   24450 May 11 19:12  Information Microsoft-Windows...           16 The iommu fault reporting has been initialized.   
   24449 May 11 19:12  Information Microsoft-Windows...           20 The description for Event ID '20' in Source 'Mi...
   24448 May 11 19:12  Information Microsoft-Windows...           30 The description for Event ID '30' in Source 'Mi...
   24447 May 11 19:12  Information Microsoft-Windows...           27 The description for Event ID '27' in Source 'Mi...
   24446 May 11 19:12  Information Microsoft-Windows...           25 The description for Event ID '25' in Source 'Mi...
   24445 May 11 19:12  Information Microsoft-Windows...          238 The description for Event ID '238' in Source 'M...
   24444 May 11 19:12  Information Microsoft-Windows...           20 The description for Event ID '20' in Source 'Mi...
   24443 May 11 19:12  Information Microsoft-Windows...           32 The description for Event ID '32' in Source 'Mi...
   24442 May 11 19:12  Information Microsoft-Windows...           18 The description for Event ID '18' in Source 'Mi...
   24441 May 11 19:12  Information Microsoft-Windows...          153 The description for Event ID '153' in Source 'M...
   24440 May 11 19:12  Information Microsoft-Windows...           12 The description for Event ID '12' in Source 'Mi...
   24439 May 11 19:12  Information Microsoft-Windows...           13 The description for Event ID '13' in Source 'Mi...
   24438 May 11 19:12  Information Microsoft-Windows...          109 The description for Event ID '109' in Source 'M...
   24437 May 11 19:12  Information EventLog               2147489661 The system uptime is 14 seconds.                  
   24436 May 11 19:12  Information EventLog               2147489653 The Event log service was started.                
   24435 May 11 19:12  Information EventLog               2147489657 Microsoft (R) Windows (R) 10.00. 19045  Multipr...
   24434 May 11 19:12  Information Microsoft-Windows...         4001 WLAN AutoConfig service has successfully stoppe...
   24433 May 11 19:12  Information Microsoft-Windows...        50037 DHCPv4 client service is stopped. ShutDown Flag...
   24432 May 11 19:12  Information Microsoft-Windows...        51057 DHCPv6 client service stop is almost done.DHCP ...
   24431 May 11 19:12  Information Microsoft-Windows...        51057 DHCPv6 client service stop is almost done.DHCP ...
   24430 May 11 19:12  Information Microsoft-Windows...        51047 DHCPv6 client service is stopped. ShutDown Flag...
   24429 May 11 19:12  Information Microsoft-Windows...        50106 DHCPv4 is waiting on DHCPv6 service to stop       
   24428 May 11 19:12  Information Microsoft-Windows...        50105 DHCPv4 client ProcessDHCPRequestForever receive...
   24427 May 11 19:12  Information Microsoft-Windows...        50104 DHCPv4 client received shutdown notification      
   24426 May 11 19:12  Information EventLog               2147489654 The Event log service was stopped.                
   24425 May 11 19:12  Warning     WinRM                      468901 The description for Event ID '468901' in Source...
   24424 May 11 19:12  Information Microsoft-Windows...         7002 User Logoff Notification for Customer Experienc...
   24423 May 11 19:12  Information User32                 2147484722 The process C:\Windows\System32\RuntimeBroker.e...
   24422 May 11 18:51  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi...
   24421 May 11 18:47  Error       Service Control M...   3221232503 The Windows Installer service terminated unexpe...
   24420 May 11 18:36  Information Service Control M...   1073748864 The start type of the Background Intelligent Tr...
   24419 May 11 18:35  Information Microsoft-Windows...            1 The system has returned from a low power state....
   24418 May 11 18:35  Information Microsoft-Windows...          130 The description for Event ID '130' in Source 'M...
   24417 May 11 18:35  Information Microsoft-Windows...          131 The description for Event ID '131' in Source 'M...
   24416 May 11 18:35  Information Microsoft-Windows...            1 Possible detection of CVE: 2024-05-11T10:35:31....
   24415 May 11 18:07  Information Microsoft-Windows...          107 The description for Event ID '107' in Source 'M...
   24414 May 11 18:07  Information Microsoft-Windows...           42 The description for Event ID '42' in Source 'Mi...
   24413 May 11 18:06  Information Service Control M...   1073748864 The start type of the Background Intelligent Tr...
   24412 May 11 18:06  Information Microsoft-Windows...           16 The description for Event ID '16' in Source 'Mi...
   24411 May 11 18:00  Error       Microsoft-Windows...         1796 The Secure Boot update failed to update a Secur...
   24410 May 11 17:30  Information Microsoft-Windows...           19 Installation Successful: Windows successfully i...
   24409 May 11 17:30  Information Microsoft-Windows...           43 Installation Started: Windows has started insta...
   24408 May 11 17:29  Information Microsoft-Windows...           44 Windows Update started downloading an update.     
   24407 May 11 17:24  Information Service Control M...   1073748864 The start type of the Background Intelligent Tr...
   24406 May 11 17:21  Information Service Control M...   1073748864 The start type of the Background Intelligent Tr...
   24405 May 11 17:21  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24404 May 11 17:21  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24403 May 11 17:21  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24402 May 11 17:21  Information WinRM                      468900 The description for Event ID '468900' in Source...
   24401 May 11 17:19  Information Microsoft-Windows...         1025 The TPM was successfully provisioned and is now...
   24400 May 11 17:19  Information Microsoft-Windows...         1282 The TBS device identifier has been generated.     
   24399 May 11 17:19  Information TPM                            18 This event triggers the Trusted Platform Module...
   24398 May 11 17:19  Information Service Control M...   3221232498 The following boot-start or system-start driver...
   24397 May 11 17:19  Information Microsoft-Windows...         4000 WLAN AutoConfig service has successfully starte...
   24396 May 11 17:19  Error       Microsoft-Windows...         1796 The Secure Boot update failed to update a Secur...
   24395 May 11 17:19  Information Microsoft-Windows...         7001 User Logon Notification for Customer Experience...
   24394 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'bindflt' (10.0, 1991-09-24T...
   24393 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'storqosflt' (10.0, 2010-08-...
   24392 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'CldFlt' (10.0, 2053-02-14T0...
   24391 May 11 17:19  Information Microsoft-Windows...            1 File System Filter 'CldFlt' (Version 10.0, 2053...
   24390 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'CldFlt' (10.0, 2053-02-14T0...
   24389 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'wcifs' (10.0, 2047-08-27T13...
   24388 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'luafv' (10.0, 2104-08-15T12...
   24387 May 11 17:19  Information Microsoft-Windows...        51046 DHCPv6 client service is started                  
   24386 May 11 17:19  Information Microsoft-Windows...        50103 DHCPv4 client registered for shutdown notification
   24385 May 11 17:19  Information Microsoft-Windows...        50036 DHCPv4 client service is started                  
   24384 May 11 17:19  Information Microsoft-Windows...        16983 The security account manager is now logging per...
   24383 May 11 17:19  Information Microsoft-Windows...        16977 The domain is configured with the following min...
   24382 May 11 17:19  Information Microsoft-Windows...        16962 Remote calls to the SAM database are being rest...
   24381 May 11 17:19  Information Microsoft-Windows...           14 Credential Guard configuration: 0, 0              
   24380 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 15 exposes the follow...
   24379 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 14 exposes the follow...
   24378 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 13 exposes the follow...
   24377 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 12 exposes the follow...
   24376 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 11 exposes the follow...
   24375 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 10 exposes the follow...
   24374 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 9 exposes the followi...
   24373 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 8 exposes the followi...
   24372 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 7 exposes the followi...
   24371 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 6 exposes the followi...
   24370 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 5 exposes the followi...
   24369 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 4 exposes the followi...
   24368 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 3 exposes the followi...
   24367 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 2 exposes the followi...
   24366 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 1 exposes the followi...
   24365 May 11 17:19  Information Microsoft-Windows...           55 Hyper-V logical processor 0 exposes the followi...
   24364 May 11 17:19  Information Microsoft-Windows...           24 The description for Event ID '24' in Source 'Mi...
   24363 May 11 17:19  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi...
   24362 May 11 17:19  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi...
   24361 May 11 17:19  Information Microsoft-Windows...          172 The description for Event ID '172' in Source 'M...
