""
"   Index Time          EntryType   Source                 InstanceID Message                                           "
"   ----- ----          ---------   ------                 ---------- -------                                           "
"    1039 May 12 10:37  Warning     DCOM                        10016 The description for Event ID '10016' in Source ..."
"    1038 May 12 10:37  Warning     DCOM                        10016 The description for Event ID '10016' in Source ..."
"    1037 May 12 10:37  Warning     DCOM                        10016 The description for Event ID '10016' in Source ..."
"    1036 May 12 10:37  Information WinRM                      468900 The description for Event ID '468900' in Source..."
"    1035 May 12 10:36  Information Service Control M...   1073748864 The start type of the Background Intelligent Tr..."
"    1034 May 12 10:35  Information Microsoft-Windows...         7001 User Logon Notification for Customer Experience..."
"    1033 May 12 10:34  Information Service Control M...   3221232498 The following boot-start or system-start driver..."
    1032 May 12 10:34  Information Microsoft-Windows...            6 File System Filter 'bindflt' (10.0," 2016-12-01T..."
    1031 May 12 10:34  Information Microsoft-Windows...            6 File System Filter 'storqosflt' (10.0," 2007-04-..."
    1030 May 12 10:34  Information Microsoft-Windows...            6 File System Filter 'CldFlt' (10.0," 2016-06-05T1..."
    1029 May 12 10:34  Information Microsoft-Windows...            1 File System Filter 'CldFlt' (Version 10.0," 2016..."
    1028 May 12 10:34  Information Microsoft-Windows...            6 File System Filter 'CldFlt' (10.0," 2016-06-05T1..."
    1027 May 12 10:34  Information Microsoft-Windows...            6 File System Filter 'wcifs' (10.0," 2070-10-31T01..."
    1026 May 12 10:34  Information Microsoft-Windows...            6 File System Filter 'luafv' (10.0," 2062-02-03T11..."
"    1025 May 12 10:34  Information Microsoft-Windows...        51046 DHCPv6 client service is started                  "
"    1024 May 12 10:34  Information Microsoft-Windows...        50103 DHCPv4 client registered for shutdown notification"
"    1023 May 12 10:34  Information Microsoft-Windows...        50036 DHCPv4 client service is started                  "
"    1022 May 12 10:34  Information Microsoft-Windows...        16983 The security account manager is now logging per..."
"    1021 May 12 10:34  Information Microsoft-Windows...        16977 The domain is configured with the following min..."
"    1020 May 12 10:34  Information Microsoft-Windows...        16962 Remote calls to the SAM database are being rest..."
    1019 May 12 10:34  Information Microsoft-Windows...           14 Credential Guard configuration: 0," 0              "
"    1018 May 12 10:34  Information Microsoft-Windows...           24 The description for Event ID '24' in Source 'Mi..."
"    1017 May 12 10:34  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi..."
"    1016 May 12 10:34  Information Microsoft-Windows...           55 Hyper-V logical processor 1 exposes the followi..."
"    1015 May 12 10:34  Information Microsoft-Windows...           55 Hyper-V logical processor 0 exposes the followi..."
"    1014 May 12 10:34  Information Microsoft-Windows...          172 The description for Event ID '172' in Source 'M..."
"    1013 May 12 10:34  0           Microsoft-Windows...           41 The description for Event ID '41' in Source 'Mi..."
"    1012 May 12 10:34  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi..."
    1011 May 12 10:34  Information Microsoft-Windows...            6 File System Filter 'npsvctrig' (10.0," 2025-01-0..."
    1010 May 12 10:34  Information Microsoft-Windows...            6 File System Filter 'UCPD' (10.0," 2053-03-18T19:..."
    1009 May 12 10:34  Information Microsoft-Windows...            6 File System Filter 'FileCrypt' (10.0," 2002-03-0..."
    1008 May 12 10:34  Information Microsoft-Windows...           98 The description for Event ID '98
